index,id,title,genres,overview,release_date,credits,poster_path
3555,399361,Triple Frontier,Action Thriller Crime Adventure,Struggling to make ends meet former special ops soldiers reunite for a high-stakes heist: stealing $75 million from a South American drug lord.,2019-03-06,BenAffleck OscarIsaac CharlieHunnam GarrettHedlund PedroPascal,/aBw8zYuAljVM1FeK5bZKITPH8ZD.jpg
3557,9362,Tremors,Horror Comedy Action Science Fiction,Hick handymen Val McKee and Earl Bassett can barely eke out a living in the Nevada hamlet of Perfection so they decide to leave town -- despite an admonition from a shapely seismology coed who's picking up odd readings on her equipment. Before long Val and Earl discover what's responsible for those readings: 30-foot-long carnivorous worms with a proclivity for sucking their prey underground.,1990-01-19,KevinBacon FredWard FinnCarter MichaelGross RebaMcEntire,/cA4ggkZ3r1d5r9hOAUWC8x5ul2i.jpg
3559,9972,Lock Up,Action Crime,Frank Leone is nearing the end of his prison term for a relatively minor crime. Just before he is paroled however Warden Drumgoole takes charge. Drumgoole was assigned to a hell-hole prison after his administration was publicly humiliated by Leone and has now arrived on the scene to ensure that Leone never sees the light of day.,1989-08-04,SylvesterStallone DonaldSutherland JohnAmos SonnyLandham TomSizemore,/WihoHaU9yvhhdoSqDAhiIlNN8g.jpg
3561,80280,[REC]³ Genesis,Horror,A pair of newlyweds must fight to survive when their wedding reception descends into chaos and carnage when their guests become infected by a virus that turns them into hungry zombies.,2012-03-30,LeticiaDolera DiegoMartín IsmaelMartínez ÀlexMonner BorjaGonzálezSantaolalla,/tI1534q0Up7PBcLdXdFerLmIXn3.jpg
3562,9348,Species,Science Fiction Horror Action,In 1993 the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure along with instructions on how to splice it with human DNA. The result is Sil a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.,1995-07-07,NatashaHenstridge BenKingsley MichaelMadsen MargHelgenberger AlfredMolina,/yEAEULEn5rraRIpymMACticTfBD.jpg
3563,1700,Misery,Drama Thriller,"Novelist Paul Sheldon crashes his car on a snowy Colorado road. He is found by Annie Wilkes the ""number one fan"" of Paul's heroine Misery Chastaine. Annie is also dangerously unstable and Paul finds himself crippled drugged and at her mercy.",1990-11-30,JamesCaan KathyBates RichardFarnsworth FrancesSternhagen LaurenBacall,/klPO5oh1LOxiPpdDXZo1ADgpKcw.jpg
3564,9349,Universal Soldier,Thriller Action Science Fiction Crime,An American soldier who had been killed during the Vietnam War is revived 25 years later by the military as a semi-android UniSols a high-tech soldier of the future. After the failure of the initiative to erase all the soldier's memories he begins to experience flashbacks that are forcing him to recall his past.,1992-07-10,Jean ClaudeVanDamme DolphLundgren AllyWalker EdO'Ross,/fp0mWrHl1SW9PhP8QcsgYPoVYFc.jpg
3565,399174,Isle of Dogs,Adventure Comedy Animation,In the future an outbreak of canine flu leads the mayor of a Japanese city to banish all dogs to an island that's a garbage dump. The outcasts must soon embark on an epic journey when a 12-year-old boy arrives on the island to find his beloved pet.,2018-03-23,BryanCranston KoyuRankin BobBalaban EdwardNorton BillMurray,/c0nUX6Q1ZB0P2t1Jo6EeFSVnOGQ.jpg
3566,335796,Ouija: Origin of Evil,Horror,In 1965 Los Angeles a widowed mother and her two daughters add a new stunt to bolster their séance scam business and unwittingly invite authentic evil into their home. When the youngest daughter is overtaken by the merciless spirit this small family confronts unthinkable fears to save her and send her possessor back to the other side.,2016-10-20,ElizabethReaser LuluWilson AnnaliseBasso HenryThomas ParkerMack,/cAZk4y7JZswALX6nTf5KXNjPMUE.jpg
3567,15137,Evangelion: 1.0 You Are (Not) Alone,Animation Science Fiction Action Drama,"After the Second Impact Tokyo-3 is being attacked by giant monsters called Angels that seek to eradicate humankind. The child Shinji's objective is to fight the Angels by piloting one of the mysterious Evangelion mecha units. A remake of the first six episodes of GAINAX's famous 1996 anime series. The film was retitled ""Evangelion: 1.01"" for its home video version and ""Evangelion: 1.11"" for a release with additional scenes.",2007-09-01,MegumiOgata MegumiHayashibara KotonoMitsuishi YurikoYamaguchi AkiraIshida,/pETU4GurpeEjBOM8oytMH0yNBHx.jpg
3568,13333,Game of Death,Drama Action Thriller,A martial arts movie star must fake his death to find the people who are trying to kill him.,1978-03-23,BruceLee GigYoung DeanJagger HughO'Brian ColleenCamp,/c6jgLHaQpdIPH1rC94KkjAqgE7O.jpg
3572,10047,The Messenger: The Story of Joan of Arc,Adventure Drama Action History War,In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's diminished kingdom - through her amazing victories until her violent and untimely death.,1999-10-27,MillaJovovich DustinHoffman FayeDunaway JohnMalkovich VincentCassel,/bR16gmwgnCD5e5UWPZHc1BsOsV0.jpg
3574,17898,Silver Bullet,Horror,The small city of Tarker's Mill is startled by a series of sadistic murders. The population fears that this is the work of a maniac. During a search a mysterious hairy creature is observed. This strange appearance is noticed once a month. People lock themselves up at night but there's one boy who's still outside he's preparing the barbecue.,1985-10-10,GaryBusey EverettMcGill TovahFeldshuh MeganFollows CoreyHaim,/52CvWYuJyWcMTPvsfcmsxaVHi7f.jpg
3575,289,Casablanca,Drama Romance,In Casablanca Morocco in December 1941 a cynical American expatriate meets a former lover with unforeseen complications.,1942-11-26,HumphreyBogart IngridBergman PaulHenreid ClaudeRains ConradVeidt,/5K7cOHoay2mZusSLezBOY0Qxh8a.jpg
3578,433251,Naked,Comedy,Following a wild night out with his Best Man Rob Anderson wakes up to find himself naked in an elevator on the morning of his wedding day and is forced to relive the morning over and over again.,2017-08-11,MarlonWayans ReginaHall DennisHaysbert LorettaDevine NeilBrownJr.,/qXRmYSB9C6SHdxTgY3wB72Riz9Y.jpg
3581,384798,Kill Command,Action Horror Science Fiction,Set in a near future technology-reliant society that pits man against killing machines. Against this backdrop an elite army unit is helicoptered to a remote off-the-grid island training facility. What starts out as a simple training exercise for Captain Bukes and his tight-knit unit descends into a terrifying battle to the death as the marines discover the island is overrun by an enemy that transcends the human concept of evil.,2016-05-13,VanessaKirby ThureLindhardt DavidAjala TomMcKay DeborahRosan,/xn6t1nYJaUMmudnHHiK390AORNu.jpg
3582,13788,The Unborn,Horror Thriller Mystery,A young woman fights the spirit that is slowly taking possession of her.,2009-01-09,OdetteAnnable CamGigandet GaryOldman IdrisElba JamesRemar,/6SUuLwyk9wFKZDYsgdSahYs7HEf.jpg
3583,27324,Pulse,Horror Thriller Mystery,In the immense city of Tokyo the darkness of the afterlife lurks some of its inhabitants who are desperately trying to escape the sadness and isolation of the modern world.,2001-02-03,HaruhikoKato KumikoAso Koyuki KurumeArisaka MasatoshiMatsuo,/1BLl6Ep315BlA0jvDNEmn6bJkUA.jpg
3584,763148,Time Is Up,Romance Drama,Vivien an accomplished student with a passion for physics and Roy a troubled young man are involved in an accident that forces them to reclaim their lives one minute at the time.,2021-09-09,BellaThorne BenjaminMascolo SebastianoPigazzi BonnieBaddoo GiampieroJudica,/dxWHyMY4HoXH8LiEhYlga2OtK5B.jpg
3585,249164,If I Stay,Drama,Mia Hall a talented young cellist thought the most difficult decision she would ever have to make would be whether to pursue her musical dreams at prestigious Juilliard or follow her heart to be with the love of her life Adam a rock singer/guitarist. However a car wreck changes everything in an instant and now Mia's life hangs in the balance. Suspended between life and death Mia faces a choice that will decide her future.,2014-08-21,ChloëGraceMoretz JamieBlackley LianaLiberato MireilleEnos JoshuaLeonard,/7Twh8h3Wh7GC9npTAEUThgkxkWL.jpg
3588,63311,The Skin I Live In,Drama Horror Mystery Thriller,A brilliant plastic surgeon creates a synthetic skin that withstands any kind of damage. His guinea pig: a mysterious and volatile woman who holds the key to his obsession.,2011-08-17,AntonioBanderas ElenaAnaya MarisaParedes JanCornet RobertoÁlamo,/wlTHU4M3Hmkxntnfv4iVMeMnPg2.jpg
3589,543540,The Perfect Date,Romance Comedy,No beau? No problem! To earn money for college a high schooler creates a dating app that lets him act as a stand-in boyfriend.,2019-04-12,NoahCentineo LauraMarano OdiseasGeorgiadis CamilaMendes MattWalsh,/rrAYdezO3h1mjdYTaQyTXoj8IZ4.jpg
3591,716258,Black Box,Horror Science Fiction Thriller,After losing his wife and his memory in a car accident a single father undergoes an experimental treatment that causes him to question who he really is.,2020-10-06,MamoudouAthie PhyliciaRashād AmandaChristine TosinMorohunfola CharmaineBingwa,/ldlpTitpSTBINwgifzlRRXveXUF.jpg
3592,622,The Ninth Gate,Mystery Thriller Horror,An all-expenses-paid international search for a rare copy of the book 'The Nine Gates of the Kingdom  of Shadows' brings an unscrupulous book dealer deep into a world of murder double-dealing and satanic worship.,1999-08-25,JohnnyDepp FrankLangella LenaOlin EmmanuelleSeigner BarbaraJefford,/cMd8zkd6NdWnQQoG7bQ9xJ8gjQR.jpg
3593,681,Diamonds Are Forever,Adventure Action Thriller,Diamonds are stolen only to be sold again in the international market. James Bond infiltrates a smuggling mission to find out who's guilty. The mission takes him to Las Vegas where Bond meets his archenemy Blofeld.,1971-12-14,SeanConnery JillSt.John CharlesGray LanaWood JimmyDean,/tOrCHtj4uUOt5p57F3SUwWbsQiE.jpg
3595,76589,Justice League: Doom,Action Animation Science Fiction,"An adaptation of Mark Waid's ""Tower of Babel"" story from the JLA comic. Vandal Savage steals confidential files Batman has compiled on the members of the Justice League and learns all their weaknesses.",2012-02-28,KevinConroy TimDaly SusanEisenberg MichaelRosenbaum CarlLumbly,/seCbcjdZYUl8SRKjeWfyi2ngzFj.jpg
3597,261470,Sorry If I Call You Love,Romance Drama,A successful attractive intelligent and brilliant advertising executive is longing to finally find emotional stability in his life and decides to propose to his girlfriend. After she refuses his proposal his life takes a turn when a new young lady enters his life.,2014-06-20,PalomaBloyd DanieleLiotti IreneMontalà AndreaDuro CristinaBrondo,/7RQdmFiEhb8zn5jmsLqdNnmepUE.jpg
3599,936,The Pink Panther,Comedy Crime,The trademark of The Phantom a renowned jewel thief is a glove left at the scene of the crime. Inspector Clouseau an expert on The Phantom's exploits feels sure that he knows where The Phantom will strike next and leaves Paris for the Tyrolean Alps where the famous Lugashi jewel 'The Pink Panther' is going to be. However he does not know who The Phantom really is or for that matter who anyone else really is...,1963-12-18,DavidNiven PeterSellers ClaudiaCardinale Capucine RobertWagner,/aCjJ0sKayks2uL7MJBzdp2i67NI.jpg
3600,417830,Diary of a Wimpy Kid: The Long Haul,Comedy Family,A Heffley family road trip to attend Meemaw's 90th birthday party goes hilariously off course thanks to Greg's newest scheme to get to a video gaming convention.,2017-05-19,JasonIanDrucker AliciaSilverstone TomEverettScott CharlieWright OwenAsztalos,/ivRrDm5PlOndteVZgjhQenzKU5t.jpg
3601,13417,Kronk's New Groove,Animation Comedy Family,Kronk now chef and Head Delivery Boy of Mudka's Meat Hut is fretting over the upcoming visit of his father. Kronk's father always disapproved of young Kronk's culinary interests and wished that Kronk instead would settle down with a wife and a large house on a hill.,2005-12-05,PatrickWarburton TraceyUllman EarthaKitt DavidSpade JohnGoodman,/kyMrt0RPVC8LDpdMrk1DjN6Gqdu.jpg
3602,9392,The Descent,Adventure Horror,After a tragic accident six friends reunite for a caving expedition. Their adventure soon goes horribly wrong when a collapse traps them deep underground and they find themselves pursued by bloodthirsty creatures. As their friendships deteriorate they find themselves in a desperate struggle to survive the creatures and each other.,2005-07-08,ShaunaMacdonald NatalieMendoza AlexReid MyAnnaBuring SaskiaMulder,/mxFPI4KYBk5ri9cPteIS8jiDFgj.jpg
3603,18487,The Taking of Pelham 1 2 3,Thriller Crime Action,Armed men hijack a New York City subway train holding the passengers hostage in return for a ransom and turning an ordinary day's work for dispatcher Walter Garber into a face-off with the mastermind behind the crime.,2009-06-10,DenzelWashington JohnTravolta JohnTurturro LuisGuzmán JamesGandolfini,/baRXNiLDOpz3rH3VyjhayhgkWll.jpg
3604,458723,Us,Horror Thriller Mystery,Husband and wife Gabe and Adelaide Wilson take their kids to their beach house expecting to unplug and unwind with friends. But as night descends their serenity turns to tension and chaos when some shocking visitors arrive uninvited.,2019-03-14,LupitaNyong'o WinstonDuke ShahadiWrightJoseph EvanAlex TimHeidecker,/ux2dU1jQ2ACIMShzB3yP93Udpzc.jpg
3606,15601,Scooby-Doo! and the Cyber Chase,Animation Adventure Comedy,When Scooby and the gang get trapped in a video game created for them they must fight against the 'Phantom Virus.' To escape the game they must go level by level and defeat the game once and for all.,2001-10-09,ScottInnes JoeAlaskey BobBergen GreyDeLisle TomKane,/mKmFscYvGLMnZ5TslwxCge5oELO.jpg
3607,699,For Your Eyes Only,Adventure Action Thriller,A British spy ship has sunk and on board was a hi-tech encryption device. James Bond is sent to find the device that holds British launching instructions before the enemy Soviets get to it first.,1981-06-24,RogerMoore CaroleBouquet Topol Lynn HollyJohnson,/z57s6bpnYqokqr5HVNOBQFv5e1j.jpg
3608,96721,Rush,Drama Action,A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.,2013-09-02,ChrisHemsworth DanielBrühl OliviaWilde AlexandraMariaLara PierfrancescoFavino,/5akKFgS7eeXUw9rKTEujryKrH17.jpg
3611,10398,Double Jeopardy,Thriller Crime Mystery Drama,Framed for the murder of her husband Libby Parsons survives the long years in prison with two burning desires sustaining her -- finding her son and solving the mystery that destroyed her once-happy life. Standing between her and her quest; however is her parole officer Travis Lehman. Libby poses a challenge to the cynical officer one that forces him to face up to his own failings while pitting him against his superiors and law enforcement colleagues.,1999-09-24,AshleyJudd TommyLeeJones BruceGreenwood AnnabethGish BenjaminWeir,/lSYMeHoUh9uWX2kXi9Fqe4BX2Ml.jpg
3613,15080,Only Yesterday,Animation Drama Romance,It's 1982 and Taeko is 27 years old unmarried and has lived her whole life in Tokyo. She decides to visit her family in the countryside where she begins to reconnect to forgotten longings. In lyrical switches between the present and the past Taeko contemplates the arc of her life and wonders if she has been true to the dreams of her childhood self.,1991-07-20,MikiImai ToshirōYanagiba YokoHonna MayumiIizuka MasahiroItou,/4k5jiZTofTErlkhtIGjC7NfNDv5.jpg
3614,65754,The Girl with the Dragon Tattoo,Thriller Crime Mystery,This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist Mikael Blomkvist as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced tattooed punk computer hacker named Lisbeth Salander. As they work together in the investigation Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.,2011-12-14,DanielCraig RooneyMara ChristopherPlummer StellanSkarsgård RobinWright,/zqDopwg7XQ4IfFX2dRlQCT1SwMG.jpg
3615,37799,The Social Network,Drama,The tale of a new breed of cultural insurgent: a punk genius who sparked a revolution and changed the face of human interaction for a generation and perhaps forever.,2010-10-01,JesseEisenberg AndrewGarfield JustinTimberlake ArmieHammer MaxMinghella,/n0ybibhJtQ5icDqTp8eRytcIHJx.jpg
3616,6957,The 40 Year Old Virgin,Comedy Romance,Andy Stitzer has a pleasant life with a nice apartment and a job stamping invoices at an electronics store. But at age 40 there's one thing Andy hasn't done and it's really bothering his sex-obsessed male co-workers: Andy is still a virgin. Determined to help Andy get laid the guys make it their mission to de-virginize him. But it all seems hopeless until Andy meets small business owner Trish a single mom.,2005-08-11,SteveCarell CatherineKeener PaulRudd RomanyMalco SethRogen,/jBoRAWYOv7tBtfXbNJMAojGj0Xf.jpg
3618,9665,Glory,Drama History War,Robert Gould Shaw leads the US Civil War's first all-black volunteer company fighting prejudices of both his own Union army and the Confederates.,1989-12-15,MatthewBroderick DenzelWashington CaryElwes MorganFreeman JihmiKennedy,/tubPIJJah9iJ9eDHXxaxjLdOcQd.jpg
3620,204922,Before I Go to Sleep,Mystery Thriller,Ever since she sustained a traumatic head injury Christine Lucas has suffered from anterograde amnesia unable to form new memories and having forgotten the last 15 years of her life. Every morning she becomes reacquainted with her husband Ben and the other constants in her life. Terrifying truths about her past begin to emerge causing her to question everything -- and everyone -- around her.,2014-09-03,NicoleKidman ColinFirth MarkStrong Anne MarieDuff,/1sSWpTupVixOanIpZdLGzsKvcZS.jpg
3624,667,You Only Live Twice,Action Thriller Adventure,A mysterious spacecraft captures Russian and American space capsules and brings the two superpowers to the brink of war. James Bond investigates the case in Japan and comes face to face with his archenemy Blofeld.,1967-06-13,SeanConnery AkikoWakabayashi MieHama TetsurōTamba TeruShimada,/8axcRNpDi1W6SQTpK2tblDhcFa8.jpg
3626,400106,Bright,Fantasy Action Thriller,In an alternate present-day where magical creatures live among us two L.A. cops become embroiled in a prophesied turf battle.,2017-12-22,WillSmith JoelEdgerton LucyFry NoomiRapace EdgarRamírez,/whkT53Sv2vKAUiknQ13pqcWaPXB.jpg
3628,426,Vertigo,Mystery Romance Thriller,A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife all the while becoming dangerously obsessed with her.,1958-05-28,JamesStewart KimNovak BarbaraBelGeddes TomHelmore HenryJones,/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
3629,9594,Double Impact,Thriller Action Crime Drama,Jean Claude Van Damme plays a dual role as Alex and Chad twins separated at the death of their parents. Chad is raised by a family retainer in Paris Alex becomes a petty crook in Hong Kong. Seeing a picture of Alex Chad rejoins him and convinces him that his rival in Hong Kong is also the man who killed their parents. Alex is suspicious of Chad especially when it comes to his girlfriend.,1991-07-31,Jean ClaudeVanDamme GeoffreyLewis AlonnaShaw CoryEverson,/tmzwvSqoMC37Tgqwj4mA2dHNSmw.jpg
3630,9378,Thir13en Ghosts,Horror Thriller,"Arthur and his two children Kathy and Bobby inherit his Uncle Cyrus's estate: a glass house that serves as a prison to 12 ghosts. When the family accompanied by Bobby's Nanny and an attorney enter the house they find themselves trapped inside an evil machine ""designed by the devil and powered by the dead"" to open the Eye of Hell. Aided by Dennis a ghost hunter and his rival Kalina a ghost rights activist out to set the ghosts free the group must do what they can to get out of the house alive.",2001-10-26,TonyShalhoub EmbethDavidtz MatthewLillard ShannonElizabeth RahDigga,/6yrrddjIjx0ElCRZp5pTZeqrj3k.jpg
3632,323027,Justice League: Gods and Monsters,Action Animation Fantasy,In an alternate universe very different versions of DC's Trinity fight against the government after they are framed for an embassy bombing.,2015-06-18,BenjaminBratt MichaelC.Hall TamaraTaylor JasonIsaacs C.ThomasHowell,/9EoqQuEZKmQIYjexoUbkxMcMCVr.jpg
3633,116711,Epic,Animation Adventure Family Fantasy,A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group characters in order to save their world—and ours.,2013-05-15,ColinFarrell AmandaSeyfried ChristophWaltz JoshHutcherson JasonSudeikis,/81cSsWzjTfR3cJSqnTiHwy1eyPK.jpg
3634,38321,Priest,Horror Action Thriller,In an alternate world humanity and vampires have warred for centuries. After the last Vampire War the veteran Warrior Priest lives in obscurity with other humans inside one of the Church's walled cities. When the Priest's niece is kidnapped by vampires the Priest breaks his vows to hunt them down. He is accompanied by the niece's boyfriend who is a wasteland sheriff and a former Warrior Priestess.,2011-05-05,PaulBettany KarlUrban LilyCollins MaggieQ StephenMoyer,/btNni3pWy3LTmckilBPxs3r8zDP.jpg
3635,9482,Judge Dredd,Science Fiction,In a dystopian future Dredd the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.,1995-06-30,SylvesterStallone DianeLane ArmandAssante RobSchneider JürgenProchnow,/cfSnKn8NDU3m8UxihjVcYprA0Aq.jpg
3636,38408,Life As We Know It,Comedy Romance Drama,After a distastrous first date for caterer Holly and network sports director Messer all they have is common is a dislike for each other and their love for their goddaughter Sophie. But when they suddenly become all Sophie has in this world Holly and Messer must set their differences aside. Juggling careers and social calendars they'll have to find common ground while living under the same roof.,2010-10-02,JoshDuhamel KatherineHeigl JoshLucas ChristinaHendricks HayesMacArthur,/zLzS2aOqKsS0QvEaY6SfBw4VBqh.jpg
3637,23169,Remember Me,Drama Romance,Still reeling from a heartbreaking family event and his parents' subsequent divorce Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig a gregarious beauty who witnessed her mother's death. But as the couple draws closer the fallout from their separate tragedies jeopardizes their love.,2010-04-07,RobertPattinson EmiliedeRavin PierceBrosnan LenaOlin ChrisCooper,/j7umuMiLCHvWT7wYhFKJOTFSokF.jpg
3640,766475,See How They Run,Mystery Comedy Thriller,In the West End of 1950s London plans for a movie version of a smash-hit play come to an abrupt halt after a pivotal member of the crew is murdered. When world-weary Inspector Stoppard and eager rookie Constable Stalker take on the case the two find themselves thrown into a puzzling whodunit within the glamorously sordid theater underground investigating the mysterious homicide at their own peril.,2022-09-09,SamRockwell SaoirseRonan AdrienBrody RuthWilson ReeceShearsmith,/r3rpSAi2yukZwr9H2km0WKGODWo.jpg
3641,483202,Eli,Horror,A boy named Eli with a rare autoimmune disorder is confined to a special experimental clinic for his treatment. He soon begins experiencing supernatural forces turning the supposedly safe facility into a haunted prison for him and his fellow patients.,2019-10-18,CharlieShotwell LiliTaylor KellyReilly MaxMartini SadieSink,/bIID8uZTYNnSMfWwaIluRTzaZQL.jpg
3642,10357,Volcano,Science Fiction Action Drama Thriller,An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits the director of the city's emergency management service working with a geologist must then use every resource in the city to try and stop the volcano from consuming LA.,1997-04-25,TommyLeeJones AnneHeche GabyHoffmann DonCheadle JacquelineKim,/6JA1o2Xz3QJRfdZqhAwlGqAVQyR.jpg
3643,6171,Dreamcatcher,Drama Horror Science Fiction Thriller,Four boyhood pals perform a heroic act and are changed by the powers they gain in return. Years later on a hunting trip in the Maine woods they're overtaken by a vicious blizzard that harbors an ominous presence. Challenged to stop an alien force the friends must first prevent the slaughter of innocent civilians by a military vigilante ... and then overcome a threat to the bond that unites the four of them.,2003-03-21,MorganFreeman ThomasJane JasonLee DamianLewis TimothyOlyphant,/3RtOffRhVHyST1d5BDVu5dnFI04.jpg
3644,754,Face/Off,Action Crime Science Fiction Thriller,In order to foil a terrorist plot an FBI agent undergoes facial transplant surgery and assumes the identity of a criminal mastermind. The plan turns sour when the criminal wakes up prematurely and seeks revenge.,1997-06-27,JohnTravolta NicolasCage JoanAllen AlessandroNivola GinaGershon,/69Xzn8UdPbVnmqSChKz2RTpoNfB.jpg
3645,544401,Cherry,Drama Crime,Cherry drifts from college dropout to army medic in Iraq - anchored only by his true love Emily. But after returning from the war with PTSD his life spirals into drugs and crime as he struggles to find his place in the world.,2021-02-26,TomHolland CiaraBravo JackReynor MichaelRispoli JeffreyWahlberg,/pwDvkDyaHEU9V7cApQhbcSJMG1w.jpg
3646,9610,Conan the Destroyer,Adventure Fantasy Action,Conan is commissioned by the evil queen Taramis to safely escort a teen princess and her powerful bodyguard to a far away castle to retrieve the magic Horn of Dagoth. Unknown to Conan the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills Conan. The queen's plans fail to take into consideration Conan's strength and cunning and the abilities of his sidekicks: the eccentric wizard Akiro the warrior woman Zula and the inept Malak. Together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword-and-sorcery land.,1984-06-29,ArnoldSchwarzenegger Oliviad'Abo GraceJones WiltChamberlain TraceyWalter,/m5i7S46DT1ESy7URkh2l92awGRr.jpg
3648,13510,Eden Lake,Horror Thriller,Eden Lake is a relentlessly tense and immaculately paced horror-thriller about modern youth gone wild. When a young couple goes to a remote wooded lake for a romantic getaway their quiet weekend is shattered by an aggressive group of local kids. Rowdiness quickly turns to rage as the teens terrorize the couple in unimaginable ways and a weekend outing becomes a bloody battle for survival.,2008-09-12,KellyReilly MichaelFassbender JackO'Connell FinnAtkins ThomasTurgoose,/lotoZbXMJxyoxx4AS48bNMp5BjS.jpg
3650,201088,Blackhat,Crime Thriller Action,Nicholas Hathaway a furloughed convict and his American and Chinese partners hunt a high-level cybercrime network from Chicago to Los Angeles to Hong Kong to Jakarta. As Hathaway closes in the stakes become personal as he discovers that the attack on a Chinese nuclear power plant was just the beginning.,2015-01-13,ChrisHemsworth TangWei LeehomWang ViolaDavis HoltMcCallany,/7zu6HPnKPjNA7NuR4DGRdaH0PdX.jpg
3652,389015,"I, Tonya",Drama,Competitive ice skater Tonya Harding rises amongst the ranks at the U.S. Figure Skating Championships but her future in the sport is thrown into doubt when her ex-husband intervenes.,2017-12-08,MargotRobbie SebastianStan AllisonJanney JulianneNicholson PaulWalterHauser,/6gNXwSHxaksR1PjVZRqNapmkgj3.jpg
3653,33,Unforgiven,Western,William Munny is a retired once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn he takes on a corrupt sheriff.,1992-08-07,ClintEastwood GeneHackman MorganFreeman JaimzWoolvett RichardHarris,/yKyLJmRAtyXEEYKOvPhKHXIcPq9.jpg
3655,11247,A Cinderella Story,Comedy Family Romance,Routinely exploited by her wicked stepmother the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.,2004-07-10,HilaryDuff ChadMichaelMurray JenniferCoolidge DanByrd ReginaKing,/3d6Nu5c7BSo5BrH2xE1pnj3yNrc.jpg
3656,59108,Tower Heist,Action Comedy,A luxury condo manager leads a staff of workers to seek payback on the Wall Street swindler who defrauded them. With only days until the billionaire gets away with the perfect crime the unlikely crew of amateur thieves enlists the help of petty crook Slide to steal the $20 million they’re sure is hidden in the penthouse.,2011-11-02,BenStiller EddieMurphy CaseyAffleck AlanAlda MatthewBroderick,/1HcOyMODYZXnncMikfhYkw3x2ss.jpg
3657,6537,The Orphanage,Horror Drama Thriller,A woman brings her family back to her childhood home which used to be an orphanage intent on reopening it. Before long her son starts to communicate with a new invisible friend.,2007-05-20,BelénRueda FernandoCayo RogerPríncep MabelRivera MontserratCarulla,/vIpi1KtHLXUOfSVC2m6MqpjSPgL.jpg
3658,11238,Aladdin and the King of Thieves,Adventure Animation Family,Legendary secrets are revealed as Aladdin and his friends—Jasmine Abu Carpet and of course the always entertaining Genie—face all sorts of terrifying threats and make some exciting last-minute escapes pursuing the King Of Thieves and his villainous crew.,1996-05-20,ScottWeinger LindaLarkin RobinWilliams JohnRhys Davies,/kTH7qEyvdDYMoQraQZm3LFKCge3.jpg
3662,11013,Secretary,Comedy Drama Romance,A young woman recently released from a mental hospital gets a job as a secretary to a demanding lawyer where their employer-employee relationship turns into a sexual sadomasochistic one.,2002-09-20,MaggieGyllenhaal JamesSpader JeremyDavies LesleyAnnWarren StephenMcHattie,/mdRXSE7ho185SZlXj0JSwuecEd3.jpg
3663,634,Bridget Jones's Diary,Comedy Romance Drama,A chaotic Bridget Jones meets a snobbish lawyer and he soon enters her world of imperfections.,2001-04-13,RenéeZellweger ColinFirth HughGrant JimBroadbent GemmaJones,/dkauRl9TosBFikftrC3OVcKWDoz.jpg
3667,359940,"Three Billboards Outside Ebbing, Missouri",Crime Drama,After seven months have passed without a culprit in her daughter's murder case Mildred Hayes makes a bold move painting three signs leading into her town with a controversial message directed at Bill Willoughby the town's revered chief of police. When his second-in-command Officer Jason Dixon an immature mother's boy with a penchant for violence gets involved the battle between Mildred and Ebbing's law enforcement is only exacerbated.,2017-12-01,FrancesMcDormand WoodyHarrelson SamRockwell LucasHedges AbbieCornish,/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg
3668,236751,Heaven Is for Real,Drama,The true story of the 4-year old son of a small-town pastor who during emergency surgery slips from consciousness and enters heaven. When he awakes he recounts his experiences on the other side.,2014-04-16,GregKinnear KellyReilly ConnorCorum ThomasHadenChurch JacobVargas,/bYJhBhe6CPIHTl62kPfKfqicTaX.jpg
