index,id,title,genres,overview,release_date,credits,poster_path
29,420808,Peter Pan & Wendy,Family Fantasy Action Adventure,Wendy Darling a young girl afraid to leave her childhood home behind meets Peter Pan a boy who refuses to grow up. Alongside her brothers and a tiny fairy Tinker Bell she travels with Peter to the magical world of Neverland. There she encounters an evil pirate captain Captain Hook and embarks on a thrilling adventure that will change her life forever.,2023-04-20,AlexanderMolony EverAnderson JudeLaw AlyssaWapanatâhk JimGaffigan,/8naZFKLQxhsYfvgveSP9Xw7Jv1B.jpg
30,315162,Puss in Boots: The Last Wish,Animation Family Fantasy Adventure Comedy,Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.,2022-12-07,AntonioBanderas SalmaHayekPinault HarveyGuillén WagnerMoura FlorencePugh,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg
33,882569,Guy Ritchie's The Covenant,War Action Thriller,During the war in Afghanistan a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.,2023-04-19,JakeGyllenhaal DarSalim AntonyStarr AlexanderLudwig JonnyLeeMiller,/kVG8zFFYrpyYLoHChuEeOGAd6Ru.jpg
34,713704,Evil Dead Rise,Thriller Horror,A reunion between two estranged sisters gets cut short by the rise of flesh-possessing demons thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.,2023-04-12,LilySullivan AlyssaSutherland MorganDavies GabrielleEchols NellFisher,/5ik4ATKmNtmJU6AYD0bLm56BCVM.jpg
35,436270,Black Adam,Action Fantasy Science Fiction,Nearly 5000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb ready to unleash his unique form of justice on the modern world.,2022-10-19,DwayneJohnson AldisHodge NoahCentineo SarahShahi QuintessaSwindell,/pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
38,843794,JUNG_E,Science Fiction Action Adventure,On an uninhabitable 22nd-century Earth the outcome of a civil war hinges on cloning the brain of an elite soldier to create a robot mercenary.,2023-01-20,KangSoo youn KimHyun joo RyuKyung,/z2nfRxZCGFgAnVhb9pZO87TyTX5.jpg
42,649609,Renfield,Horror Comedy Fantasy,Having grown sick and tired of his centuries as Dracula's lackey Renfield finds a new lease on life — and maybe even redemption — when he falls for feisty perennially angry traffic cop Rebecca Quincy.,2023-04-07,NicholasHoult NicolasCage Awkwafina BenSchwartz ShohrehAghdashloo,/p6yUjhvNGQpFZilKwOKbxQ1eHlo.jpg
46,668482,Roald Dahl's Matilda the Musical,Family Comedy Fantasy,An extraordinary young girl discovers her superpower and summons the remarkable courage against all odds to help others change their stories whilst also taking charge of her own destiny. Standing up for what's right she's met with miraculous results.,2022-11-25,AlishaWeir EmmaThompson LashanaLynch StephenGraham AndreaRiseborough,/ga8R3OiOMMgSvZ4cOj8x7prUNYZ.jpg
48,736526,Troll,Fantasy Action Adventure Thriller,Deep inside the mountain of Dovre something gigantic awakens after being trapped for a thousand years. Destroying everything in its path the creature is fast approaching the capital of Norway. But how do you stop something you thought only existed in Norwegian folklore?,2022-12-01,IneMarieWilmann KimS.Falck Jørgensen MadsSjøgårdPettersen GardB.Eidsvold,/9z4jRr43JdtU66P0iy8h18OyLql.jpg
49,676547,Prey for the Devil,Horror Thriller,In response to a global rise in demonic possessions the Catholic Church reopens exorcism schools to train priests in the Rite of Exorcism. On this spiritual battlefield an unlikely warrior rises: a young nun Sister Ann. Thrust onto the spiritual frontline with fellow student Father Dante Sister Ann finds herself in a battle for the soul of a young girl and soon realizes the Devil has her right where he wants her.,2022-10-23,JacquelineByers ColinSalmon ChristianNavarro LisaPalfrey NicholasRalph,/iCvgemXf2Kpr2LvpDmt5J9NhjKM.jpg
